State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
United States,29471612,29834331,30229988,30738684,31200605,31382830,31653485,31935180,32134865,32606255,32574120,33261455,34162860,34869040
Alabama,370196,368495,394925,381050,416570,389490,382125,388035,399335,405825,395965,410755,427420,421375
Alaska,61646,59787,62028,58059,61551,58630,63330,65635,65550,61365,72190,68880,74730,74595
Arizona,472901,460938,466595,498703,519089,552805,586050,583945,583185,608775,572255,595765,627360,624995
Arkansas,177657,185372,211034,187589,191844,202620,202595,207170,204995,216125,218465,225880,232995,230695
California,3670622,3618304,3830611,3918228,3916467,3892100,3942405,3958150,3948560,4024500,4037405,4095175,4262365,4306965
Colorado,596036,591620,595381,623279,597798,636435,616560,635205,645080,654275,657580,686255,697090,717655
Connecticut,443608,445850,436877,447818,446196,432450,425025,431260,435570,426215,422805,426065,433320,434330
Delaware,84170,81009,86614,90649,90323,87995,92375,86105,85620,92530,86800,89770,91120,96925
Florida,1513345,1564716,1557481,1616842,1663973,1694515,1766285,1781350,1747360,1761940,1741400,1807575,1880035,1930475
Georgia,884108,874366,872414,929979,908169,1013470,993730,1016235,1034795,1039425,1008475,1032855,1047655,1062965
Hawaii,136758,129438,138714,132630,140726,129860,149840,149665,147325,157300,146455,151200,157685,171975
Idaho,112690,102492,120879,121592,122855,121720,133520,142790,139110,135620,138980,145300,148840,151830
Illinois,1444942,1488602,1475813,1487189,1543755,1530725,1515470,1522300,1545385,1553735,1534125,1567170,1587155,1599280
Indiana,537644,561655,557999,543808,565507,562485,582550,590085,610565,603095,592540,614145,625770,619760
Iowa,289740,299357,294568,294559,314778,317770,314360,324135,326265,331840,332185,342655,356540,350930
Kansas,282475,304258,280171,307608,312176,289850,288710,294750,303960,297295,310565,308235,317200,323335
Kentucky,317109,321357,338493,335263,338938,353170,367005,359920,370170,385495,372625,377645,389375,412725
Louisiana,316348,318160,325257,346949,351539,340335,316725,312255,325800,358275,362815,365790,386345,390470
Maine,122958,121914,132814,128525,127211,123130,127000,131940,119635,122980,123045,127825,119810,128175
Maryland,672460,690575,690654,714825,684230,693315,727195,701070,700895,713320,708995,732630,751110,749030
Massachusetts,942748,974665,958593,970834,992730,932195,925920,929040,918140,939445,928540,929155,941345,967135
Michigan,982169,1030376,1014106,1026212,1019192,1013030,1001040,992470,973875,946695,928480,940460,954895,979675
Minnesota,631677,665624,647061,668668,679529,684725,674895,680415,694565,688730,700450,710690,730915,732855
Mississippi,208866,218184,225643,214703,226902,231760,230625,227815,235630,226355,240920,241695,247660,246140
Missouri,517750,518314,547715,541597,564189,543130,560545,567000,568535,582135,590440,602935,608270,628670
Montana,81428,79849,79332,85047,86500,85590,90990,86170,92425,94470,95825,99690,99740,101560
Nebraska,185090,194601,187674,187939,203671,202180,198390,203440,198335,202445,209090,207890,219520,221195
Nevada,152536,152489,158521,167370,190198,193900,208990,214805,217000,226510,218725,216970,231330,235130
New Hampshire,156434,164905,153226,163231,155957,161160,161620,159905,163290,153960,151555,151035,152715,148765
New Jersey,1076450,1137167,1089899,1105776,1085350,1114215,1115870,1090780,1105925,1101800,1117025,1105760,1134330,1146425
New Mexico,149398,141690,166378,142448,154608,153405,160605,157905,160980,164085,159590,166660,177085,179025
New York,2359507,2335677,2417516,2432498,2451559,2499315,2450305,2465175,2489300,2566265,2503460,2534195,2580440,2669890
North Carolina,844019,826717,855283,892169,906302,933035,921080,949770,955355,1004795,996875,1024595,1025230,1066775
North Dakota,71509,73317,68607,70144,70780,73975,74020,75165,78240,77225,82980,82795,89645,93740
Ohio,1075353,1104034,1073492,1107195,1088355,1098910,1085140,1115945,1119535,1115605,1115560,1110325,1142375,1170805
Oklahoma,276525,264301,272880,275638,283745,296770,290730,294615,299975,298455,308205,329555,336480,338230
Oregon,333963,337122,345461,355143,375650,361760,377060,393990,392665,401130,396400,404800,429610,440425
Pennsylvania,1230548,1262106,1236673,1243379,1219659,1269455,1282535,1291415,1299315,1326260,1326650,1335850,1382545,1411540
Rhode Island,117758,126318,122304,128487,121938,127600,124010,118325,119225,120460,114935,113495,115515,115610
South Carolina,357570,380304,368143,370577,404908,389380,383505,411755,412750,425930,423545,424315,448225,459195
South Dakota,73128,78120,75040,76724,76820,82620,81430,81600,83820,80520,85675,85995,87590,94715
Tennessee,489940,495231,506572,511871,526222,521415,524650,529570,550850,579010,566625,574930,598950,618025
Texas,1973279,1979704,2040420,2059427,2145218,2112580,2183005,2244095,2277955,2312815,2376590,2486640,2557095,2656620
Utah,222534,222744,237118,247337,255239,276705,278685,289025,304685,302340,313175,323280,337520,345575
Vermont,70277,70565,68503,68018,67202,68445,68160,69115,68015,68180,65045,70425,68525,69480
Virginia,874239,892862,894093,904354,916367,925210,949490,951425,960410,970870,1010140,1049675,1063895,1079140
Washington,693591,704284,728606,721329,754664,739975,771750,772895,758280,782875,787905,813490,814745,844950
West Virginia,115337,110362,120288,123752,120939,125230,130215,130375,129865,130225,132410,143430,137835,144415
Wisconsin,566244,568689,561784,566942,589010,596925,599290,596700,601715,595645,604645,610185,630690,639250
Wyoming,44235,41055,42740,44448,44998,42115,45235,48790,49475,49575,53925,55280,54455,62665
